XREF_ID,MNXM3,MNXM7,MNXM51,MNXM30,MNXM63,MNXM220,MNXM121,MNXM17,MNXM423,MNXM495,MNXM2,MNXM9,MNXM1,MNXM10,MNXM8,MNXM5,MNXM6,MNXM21,MNXM26,MNXM15,MNXM89557,MNXM38,MNXM33,MNXM208,MNXM119,MNXM191,MNXM232,MNXM223,MNXM509,MNXM7517,MNXM12235,MNXM12233,MNXM12236,MNXM558,MNXM2178,MNXM94,MNXM55,MNXM134,MNXM76,MNXM61,MNXM97,MNXM53,MNXM114,MNXM42,MNXM142,MNXM37,MNXM231,MNXM70,MNXM78,MNXM199,MNXM140,MNXM32,MNXM29,MNXM147,MNXM286,MNXM360,MNXM394,MNXM344,MNXM16,MNXM161,MNXM12,MNXM256
bigg,['atp'],['adp'],['gtp'],['gdp'],['ctp'],['cdp'],['utp'],['udp'],['itp'],['idp'],"['h2o', 'oh1']",['pi'],['h'],['nadh'],['nad'],['nadp'],['nadph'],['accoa'],['ac'],"['nh3', 'nh4']",['glu__L'],['fadh2'],['fad'],['fmnh2'],['fmn'],['q8h2'],['q8'],['mql8'],['mqn8'],['mql6'],['mqn6'],['mql7'],['mqn7'],['2dmmql8'],['2dmmq8'],['trp__L'],['cys__L'],['his__L'],['tyr__L'],['met__L'],['phe__L'],['ser__L'],['pro__L'],"['CE1787', 'CE5868', 'asp__L']",['thr__L'],['gln__L'],['ile__L'],['arg__L'],['lys__L'],['val__L'],['leu__L'],['ala__L'],['gly'],['asn__L'],['datp'],['dctp'],['dttp'],['dgtp'],['amet'],['pydx5p'],['coa'],['thmpp']
chebi,"['15422', '10789', '10841', '13236', '22249', '2359', '40938', '237958', '30616', '57299']","['16761', '13222', '22244', '2342', '40553', '456216', '87518']","['15996', '13342', '24451', '42934', '5234', '37565', '57600']","['17552', '13327', '14379', '24448', '42738', '5212', '58189', '65180']","['17677', '13286', '23522', '3285', '41675', '37563', '58231']","['17239', '13254', '23519', '3260', '41451', '58069']","['15713', '13510', '27233', '9850', '46398', '37567', '46397', '57481']","['17659', '13445', '27230', '46402', '9802', '58223']","['16039', '13374', '19272', '43508', '5851', '57614', '61402']","['17808', '13371', '19270', '43252', '5848', '58280']","['15377', '10743', '13352', '27313', '42043', '42857', '43228', '44292', '44701', '44819', '5585', '16234', '13365', '13419', '44641', '5594', '29356', '29374', '29375', '29412', '30490', '33806', '33811', '33813', '41981', '29373', '41979']","['18367', '14791', '45024', '7793', '26078', '35780', '39745', '29137', '39739', '43474', '29139', '43470']","['15378', '10744', '13357', '5584', '24636', '29233', '29234']","['16908', '13395', '13396', '21902', '44216', '7423', '57945']","['15846', '13394', '21901', '29867', '7422', '44215', '13393', '44214', '44281', '57540']","['18009', '13398', '21903', '29868', '7424', '25523', '44409', '13397', '44405', '58349']","['16474', '13399', '13400', '21904', '44286', '7425', '57783']","['15351', '13712', '22192', '2408', '40470', '57288']","['15366', '22169', '2387', '40486', '30089', '13704', '22165', '40480']","['135980', '16134', '13405', '13406', '13407', '13771', '22533', '44269', '44284', '44404', '7434', '28938', '22534', '49783', '7435', '29337', '29340']","['14321', '16015', '21304', '42825', '6224', '18237', '24314', '5431', '29985', '13107', '21301', '29987', '29988', '76051']","['17877', '13316', '21126', '42427', '4957', '58307']","['16238', '13315', '21125', '42388', '4956', '57692']","['133886', '16048', '13318', '15017', '21128', '42517', '8782', '57618']","['17621', '13317', '21127', '42587', '4960', '58210']",['61682'],['61683'],['61684'],['44027'],['84536'],,['64834'],['44245'],['61873'],['48455'],"['16828', '13178', '184633', '21407', '45988', '46086', '46125', '46225', '6310', '27897', '27163', '9769', '32702', '32704', '32727', '32728', '57912', '64554']","['15356', '14061', '23508', '4050', '17561', '13095', '21261', '41227', '41700', '41768', '41781', '41811', '6207', '32442', '32443', '32445', '32456', '32457', '32458', '35235', '35237']","['15971', '13117', '21324', '43048', '43114', '43190', '43239', '6240', '27570', '24598', '43118', '5733', '32510', '32511', '32512', '32513', '32529', '32530', '32531', '32532', '57595']","['17895', '13181', '21411', '46070', '46161', '6313', '18186', '15277', '27176', '9800', '32760', '32761', '32762', '32784', '32785', '32786', '58315']","['16643', '13141', '21360', '43990', '6271', '16811', '14590', '25229', '6829', '32631', '32632', '32644', '32646', '57844', '64558']","['17295', '13151', '21370', '44851', '44885', '45079', '6282', '28044', '25984', '8089', '32486', '32487', '32504', '32505', '58095', '76052']","['17115', '13167', '21387', '45440', '45451', '45590', '45597', '45677', '6301', '17822', '15081', '26648', '9116', '32836', '32837', '32845', '32846', '33384', '35243']","['17203', '13154', '184637', '21373', '42067', '45040', '45100', '45159', '6286', '26271', '32862', '32864', '32871', '32872', '60039', '58054']","['132943', '17053', '21247', '40853', '40900', '40913', '40942', '6193', '22660', '29991', '13085', '21244', '29993', '29995', '35391', '22659', '29992']","['16857', '13175', '21403', '42083', '45843', '45983', '6308', '26986', '32820', '32822', '32832', '32833', '57926']","['18050', '13110', '21308', '42812', '42814', '42899', '42943', '6227', '28300', '24316', '5432', '32665', '32666', '32678', '32679', '58359']","['17191', '13127', '21344', '43290', '43342', '43366', '6255', '24898', '32604', '32605', '32612', '32613', '58045']","['16467', '13077', '21235', '42927', '6185', '29016', '22616', '2643', '32681', '32682', '133495', '32683', '32695', '32696', '32697']","['133538', '18019', '13135', '21351', '43950', '6264', '25094', '32550', '32551', '32552', '32563', '32564', '32565']","['16414', '13186', '21417', '46282', '46376', '46418', '46484', '6321', '27266', '32851', '32852', '32859', '32860', '57762', '87977']","['15603', '10866', '13131', '21348', '43646', '43695', '43733', '43814', '6260', '25017', '32619', '32620', '32627', '32628', '57427']","['132498', '16449', '13748', '22277', '2539', '16977', '13069', '21216', '40734', '40735', '46308', '6171', '32431', '32432', '32439', '32440', '57972', '66916', '76050']","['132194', '15428', '10792', '14344', '24368', '42964', '5460', '32507', '32508', '57305']","['17196', '13083', '21242', '40902', '6191', '22653', '32650', '32651', '32660', '32661', '58048']","['16284', '10491', '14069', '19238', '42290', '495505', '61404']","['16311', '10494', '14072', '19243', '57724', '61481']","['18077', '10530', '14093', '27000', '46175', '37568', '58370']","['16497', '10497', '14076', '19247', '57794', '61429']","['15414', '10786', '10833', '12742', '12757', '12760', '22036', '45607', '527887', '8946', '33440', '33442', '59789', '67040']","['18405', '14977', '234571', '26424', '358848', '45145', '8668', '597326']","['15346', '13294', '13295', '13298', '23355', '3771', '41597', '41631', '741566', '57287']","['45931', '15229', '45930', '49939', '58937', '9532']"
deprecated,"['MNXM114062', 'MNXM31407', 'MNXM89552', 'MNXM89562', 'MNXM89566']","['MNXM128063', 'MNXM89554', 'MNXM89565', 'MNXM89570']","['MNXM89606', 'MNXM89660']","['MNXM89604', 'MNXM89637']","['MNXM89619', 'MNXM89657']",['MNXM90125'],"['MNXM89696', 'MNXM89731']","['MNXM89575', 'MNXM89627']",['MNXM90128'],"['MNXM57105', 'MNXM90141', 'MNXM97242']","['MNXM114710', 'MNXM114753', 'MNXM11838', 'MNXM124004', 'MNXM124324', 'MNXM124831', 'MNXM125045', 'MNXM126600', 'MNXM128935', 'MNXM131091', 'MNXM145357', 'MNXM49218', 'MNXM56889', 'MNXM89551']","['MNXM104569', 'MNXM105629', 'MNXM107750', 'MNXM118800', 'MNXM124920', 'MNXM75089', 'MNXM75092', 'MNXM89555']","['MNXM104313', 'MNXM113751', 'MNXM145872', 'MNXM89553']",['MNXM89564'],['MNXM96411'],"['MNXM64103', 'MNXM89560', 'MNXM96408']","['MNXM64104', 'MNXM89556', 'MNXM89561']","['MNXM89572', 'MNXM89581']","['MNXM96437', 'MNXM96524']","['MNXM84', 'MNXM89589', 'MNXM89593']","['MNXM18', 'MNXM96412']",['MNXM89586'],['MNXM96415'],['MNXM89952'],['MNXM90011'],['MNXM88406'],,['MNXM96445'],['MNXM89701'],['MNXM2130'],['MNXM1842'],,['MNXM1240'],['MNXM96459'],['MNXM89837'],"['MNXM13196', 'MNXM96441']","['MNXM3003', 'MNXM96420']","['MNXM18466', 'MNXM96446']","['MNXM88389', 'MNXM96426']","['MNXM19303', 'MNXM96432']","['MNXM20420', 'MNXM96433']","['MNXM145525', 'MNXM4823', 'MNXM96422']","['MNXM12756', 'MNXM89766', 'MNXM92612', 'MNXM96442']","['MNXM10749', 'MNXM114080', 'MNXM96417']","['MNXM87132', 'MNXM87133', 'MNXM87136', 'MNXM96457']","['MNXM114065', 'MNXM8662', 'MNXM96414']","['MNXM105825', 'MNXM105826', 'MNXM57989', 'MNXM96469']","['MNXM10738', 'MNXM96427']","['MNXM157568', 'MNXM89753']","['MNXM13250', 'MNXM96489']","['MNXM12097', 'MNXM96449']","['MNXM90693', 'MNXM92097', 'MNXM96413']",['MNXM96416'],"['MNXM10748', 'MNXM96450']",['MNXM89809'],['MNXM89969'],['MNXM90016'],['MNXM89893'],"['MNXM13751', 'MNXM13770', 'MNXM21656', 'MNXM89614', 'MNXM89749']","['MNXM89648', 'MNXM90145']","['MNXM47485', 'MNXM47491', 'MNXM89558', 'MNXM89567']","['MNXM89911', 'MNXM90095']"
envipath,,,,,,,,,,,"['5882df9c-dae1-4d80-a40e-db4724271456/compound/969d0227-3069-4e44-9525-7ae7bad84170', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/799908db-b8c9-4982-86cb-1f225e2ad08c', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/e7f34a8e-cded-4793-b6d5-792335b38636']","['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/c581b2ce-6238-45de-abc0-60ca8d47ed04', '5882df9c-dae1-4d80-a40e-db4724271456/compound/84684967-eade-48d4-b25d-c4aede0a0836', '5882df9c-dae1-4d80-a40e-db4724271456/compound/ad82c39b-2edb-4953-b971-79a2d2ea6e26', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/aac01fea-4223-49c1-8b12-cd50f11ebfc8', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/db5219ee-60cb-4370-b066-340c9faf069c']",,,,,,['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/57bd5e24-9d14-4b91-bc60-64c8ea6c2d11'],"['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/b545cabc-8c9e-4b20-8848-efa015b481ea', '4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/d45256fe-61fa-4f5b-bb16-91a3d615e3d8', '5882df9c-dae1-4d80-a40e-db4724271456/compound/5e4989fc-13d3-45d4-ad57-3be380a9d3c0', '5882df9c-dae1-4d80-a40e-db4724271456/compound/9e26dcbe-4db9-46a0-8614-9f03545032d2', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/3e2d750f-df31-4445-9255-163c627e9b4a', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/a8f0be58-24e8-441b-8d81-a516a0ead4b3']","['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/41e4c903-407f-49f7-bf6b-0a94d39fa3a7', '5882df9c-dae1-4d80-a40e-db4724271456/compound/27a89bdf-42f7-478f-91d8-e39881581096', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/96667bd9-aeae-4e8f-89d3-100d0396af05']",,,,,,,,,,,,,,,,,"['650babc9-9d68-4b73-9332-11972ca26f7b/compound/02361658-c991-436f-ba62-fafbccfdae5e', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/1271bedc-d0c8-4aa1-83dc-571304dd14a8']",,['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/974bd9b7-53fb-48cd-aaf3-6bd3196c0365'],['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/44a61812-39ff-48f9-bf09-8398e8723d5e'],"['650babc9-9d68-4b73-9332-11972ca26f7b/compound/447fdbbc-919c-4e8d-aed3-c0533f3e6047', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/c1b55d6f-7946-4f39-9dc6-ac0f47865b8b']",['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/207ebcd7-f859-4b01-8a69-9b99fb380595'],,['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/4b0cdcb0-137a-4ddc-8e5c-2b55ea238c15'],['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/b570a573-71c2-4661-a517-6ac1b121dc59'],,,,,"['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/b2ec1d47-f20f-4b19-9b15-ac1a3c2159c5', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/65a4c231-5232-4f08-93e2-007eb0537f0e']",,"['650babc9-9d68-4b73-9332-11972ca26f7b/compound/1aad160f-1c5e-48e0-9473-6305321b31ed', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/d80739c7-acbe-4c00-8ea2-e3d19a191be2']","['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/19441357-44af-48e1-b5ac-0e48c8dcbb87', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/870d7ca5-6659-40eb-8b5d-858bd29cddaa']",,,,,,,,['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/19310484-6aa5-4dcf-b1da-855a8c21ecfd'],
hmdb,,['HMDB01341'],,,,,,,,['HMDB03335'],['HMDB02111'],"['HMDB00973', 'HMDB01429', 'HMDB05947', 'HMDB02105', 'HMDB02142']",['HMDB59597'],['HMDB01487'],,,"['HMDB00221', 'HMDB00799', 'HMDB06341']",['HMDB01206'],['HMDB00042'],"['HMDB00051', 'HMDB41827']","['HMDB00148', 'HMDB60475']",,['HMDB01248'],['HMDB01142'],,['HMDB01060'],,,,,['HMDB30017'],,,,,"['HMDB00929', 'HMDB30396']",['HMDB00574'],"['HMDB00177', 'HMDB03412']","['HMDB00158', 'HMDB00647']","['HMDB00696', 'HMDB33951']","['HMDB00159', 'HMDB00612']","['HMDB00187', 'HMDB00589', 'HMDB62263']",['HMDB00162'],"['HMDB00191', 'HMDB62186', 'HMDB62501']",['HMDB00167'],['HMDB00641'],['HMDB00172'],"['HMDB00517', 'HMDB62762']",['HMDB62809'],"['HMDB00883', 'HMDB34366']","['HMDB00687', 'HMDB62203']","['HMDB00161', 'HMDB62251']",['HMDB00123'],['HMDB00168'],,['HMDB00998'],,['HMDB01440'],"['HMDB01185', 'HMDB62709']",['HMDB01491'],['HMDB01423'],['HMDB62636']
kegg,"['C00002', 'D08646']","['C00008', 'G11113']",['C00044'],"['C00035', 'G10620']",['C00063'],['C00112'],['C00075'],"['C00015', 'G10619']",['C00081'],['C00104'],"['C00001', 'D00001', 'C01328', 'C18714', 'D03703', 'D06322']","['C00009', 'D05467', 'C13558']",['C00080'],['C00004'],"['C00003', 'D00002']",['C00006'],['C00005'],['C00024'],"['C00033', 'D00010']","['C00014', 'D02916', 'C01342', 'D02915']","['C00025', 'D00007', 'C00302', 'D04341']",['C01352'],"['C00016', 'D00005']",['C01847'],['C00061'],,['C17569'],,,,,,,,,"['C00078', 'D00020', 'C00806']","['C00097', 'D00026', 'C00736']","['C00135', 'D00032', 'C00768']","['C00082', 'D00022', 'C01536']","['C00073', 'D00019', 'C01733', 'D04983', 'D04984']","['C00079', 'D00021', 'C02057']","['C00065', 'D00016', 'C00716']","['C00148', 'D00035', 'C16435']","['C00049', 'D00013', 'C16433']","['C00188', 'D00041']","['C00064', 'D00015', 'C00303']","['C00407', 'D00065']","['C00062', 'D02982', 'C02385']","['C00047', 'D02304', 'C16440']","['C00183', 'D00039', 'C16436']","['C00123', 'D00030', 'C16439']","['C00041', 'D00012', 'C01401']","['C00037', 'D00011']","['C00152', 'C16438']",['C00131'],['C00458'],['C00459'],['C00286'],['C00019'],['C00018'],['C00010'],['C00068']
lipidmaps,,,,,,,,,,,,,,,,,,"['LMFA07050029', 'LMFA07050281']",['LMFA01010002'],,,,,,,,['LMPR02010005'],,,,['LMPR02030001'],,,,['LMPR02030027'],,,,,,,['LMFA01100045'],,,,,['LMFA01100047'],,,['LMFA01100046'],['LMFA01100048'],,,,,,,,,,,
metacyc,"['ATP', 'CPD0-1634']","['ADP', 'CPD0-1651']",['GTP'],['GDP'],['CTP'],['CDP'],['UTP'],['UDP'],['ITP'],['IDP'],"['CPD-15815', 'HYDROXYL-GROUP', 'OH', 'OXONIUM', 'WATER']","['CPD-16459', 'CPD-9010', 'PHOSPHATE-GROUP', 'Pi']",['PROTON'],['NADH'],['NAD'],['NADP'],['NADPH'],['ACETYL-COA'],['ACET'],"['AMMONIA', 'AMMONIUM']","['GLT', 'Glutamates']",['FADH2'],['FAD'],['FMNH2'],['FMN'],['CPD-9956'],['UBIQUINONE-8'],['REDUCED-MENAQUINONE'],['CPD-9728'],['CPD-12124'],['CPD-9724'],['CPD-12125'],['CPD-9718'],['CPD-12115'],['DEMETHYLMENAQUINONE'],['TRP'],['CYS'],['HIS'],['TYR'],['MET'],['PHE'],"['SER', 'Serines']",['PRO'],['L-ASPARTATE'],['THR'],['GLN'],['ILE'],['ARG'],['LYS'],['VAL'],['LEU'],['L-ALPHA-ALANINE'],['GLY'],['ASN'],['DATP'],['DCTP'],['TTP'],['DGTP'],['S-ADENOSYLMETHIONINE'],['PYRIDOXAL_PHOSPHATE'],"['CO-A', 'COA-GROUP']",['THIAMINE-PYROPHOSPHATE']
mnx,['MNXM3'],['MNXM7'],['MNXM51'],['MNXM30'],['MNXM63'],['MNXM220'],['MNXM121'],['MNXM17'],['MNXM423'],['MNXM495'],['MNXM2'],['MNXM9'],['MNXM1'],['MNXM10'],['MNXM8'],['MNXM5'],['MNXM6'],['MNXM21'],['MNXM26'],['MNXM15'],['MNXM89557'],['MNXM38'],['MNXM33'],['MNXM208'],['MNXM119'],['MNXM191'],['MNXM232'],['MNXM223'],['MNXM509'],['MNXM7517'],['MNXM12235'],['MNXM12233'],['MNXM12236'],['MNXM558'],['MNXM2178'],['MNXM94'],['MNXM55'],['MNXM134'],['MNXM76'],['MNXM61'],['MNXM97'],['MNXM53'],['MNXM114'],['MNXM42'],['MNXM142'],['MNXM37'],['MNXM231'],['MNXM70'],['MNXM78'],['MNXM199'],['MNXM140'],['MNXM32'],['MNXM29'],['MNXM147'],['MNXM286'],['MNXM360'],['MNXM394'],['MNXM344'],['MNXM16'],['MNXM161'],['MNXM12'],['MNXM256']
reactome,"['113592', '113593', '211579', '29358', '389573', '5632460', '5696069', '6798184', '8869363', '8878982', '8938081']","['113581', '113582', '114564', '114565', '211606', '29370', '5632457', '5696026', '6798177', '8869360']","['113573', '29438']","['111349', '113525', '205689', '29420']","['110577', '110614', '29470']",,['29494'],"['110096', '111814', '158602', '205687']",['2509836'],['2509811'],"['109276', '1130930', '113518', '113519', '113521', '141343', '1605715', '189422', '2022884', '29356', '351603', '5278291', '5668574', '5693747', '8851517']","['109277', '113548', '113551', '8851226', '8851513']","['1132304', '113529', '1470067', '156540', '163953', '193465', '194688', '2000349', '2872447', '351626', '372511', '374900', '425969', '425978', '425999', '427899', '428040', '428548', '5668577', '70106', '74722']","['192305', '194697', '29362', '73473']","['113526', '192307', '194653', '29360', '352330']","['113563', '113564', '194668', '2000348', '29366', '351628', '389556', '5623650', '6790191']","['113600', '113601', '113602', '194725', '2000347', '29364', '351627', '5623644', '6790135']","['113559', '113560', '353123', '727753', '76183']","['113539', '1524044', '2022890', '29416', '390305']","['1132163', '113561', '140912', '2022135', '29382', '31633', '389843', '5693978', '76230']","['113552', '210382', '29404', '428614']","['164934', '31649']","['113596', '113597', '29386']",,,,,,,,,,,,,"['29500', '352006', '379709']","['111707', '352016', '379721', '5668576']","['29612', '379695']","['29506', '352030', '379710', '5668567']","['1130765', '174390', '379705']","['29502', '351993', '379701']","['200736', '352002', '379732', '8932979']","['113538', '352033', '379717']","['113553', '29448']","['351990', '352000', '379706']","['113522', '212615', '29472']","['113537', '30102']","['113530', '29468', '351977', '374064']","['29444', '351979', '351991']","['113540', '29702']","['113580', '29588', '351964']","['29432', '352036', '379697', '389664']","['113545', '159549', '193446', '266029', '29424']","['29642', '379703']",['110644'],,,,"['2162265', '353113', '5279190', '71284', '77087']",['29390'],"['162743', '1678675', '193514', '2485002', '29374', '76194', '8939024']","['29480', '8878387']"
sabiork,['34'],['35'],['1282'],['1280'],['1286'],,['1288'],['1269'],['1291'],['1299'],['40'],['36'],['39'],['38'],['37'],['1263'],['1262'],['1276'],['1278'],"['1268', '43']","['2010', '73']",['2274'],['1270'],['2325'],['1673'],,,,,,,,,,,"['2164', '85']","['2142', '78']","['2151', '81']","['2291', '84']","['2315', '77']","['2365', '83']","['2140', '75']","['25536', '82']",['71'],"['27463', '76']","['2011', '74']","['23116', '70']","['23080', '2410', '80']","['22945', '79']","['23113', '68']","['21059', '69']","['2280', '67']",['66'],"['21052', '72']",['1307'],['1678'],['1679'],['1675'],['1272'],['1271'],['1265'],['1287']
seed,['cpd00002'],['cpd00008'],['cpd00038'],['cpd00031'],['cpd00052'],['cpd00096'],['cpd00062'],['cpd00014'],['cpd00068'],['cpd00090'],"['cpd00001', 'cpd15275', 'cpd27222']","['cpd00009', 'cpd27787']",['cpd00067'],['cpd00004'],['cpd00003'],['cpd00006'],['cpd00005'],['cpd00022'],['cpd00029'],"['cpd00013', 'cpd19013']","['cpd00023', 'cpd19002', 'cpd27177']",['cpd00982'],['cpd00015'],['cpd01270'],['cpd00050'],"['cpd15561', 'cpd29608']",['cpd15560'],['cpd15499'],['cpd15500'],['cpd15994'],['cpd15995'],,['cpd11606'],,['cpd15352'],"['cpd00065', 'cpd19007']","['cpd00084', 'cpd00547']","['cpd00119', 'cpd00572']","['cpd00069', 'cpd30745']","['cpd00060', 'cpd30746']","['cpd00066', 'cpd01400']","['cpd00054', 'cpd28171', 'cpd30743']","['cpd00129', 'cpd15140']","['cpd00041', 'cpd19181']",['cpd00161'],"['cpd00053', 'cpd00253']",['cpd00322'],"['cpd00051', 'cpd19021']","['cpd00039', 'cpd19182']","['cpd00156', 'cpd15141']","['cpd00107', 'cpd15143']","['cpd00035', 'cpd01003']",['cpd00033'],"['cpd00132', 'cpd15142']",['cpd00115'],['cpd00356'],['cpd00357'],['cpd00241'],['cpd00017'],['cpd00016'],"['cpd00010', 'cpd22528']",['cpd00056']
slm,,,,,,,,,,,,,,,,,,['000000297'],['000000449'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
